Year,Type,Tonnes,Percentage per Year
2018,Natural Rubber (Dry),64306,6.50
2019,Natural Rubber (Dry),63880,6.40
2020,Natural Rubber (Dry),59228,5.60
2021,Natural Rubber (Dry),59467,5.80
2022,Natural Rubber (Dry),62218,7.30
2018,Natural Rubber (Latex),451296,45.80
2019,Natural Rubber (Latex),451587,45.60
2020,Natural Rubber (Latex),459504,43.10
2021,Natural Rubber (Latex),442494,43.10
2022,Natural Rubber (Latex),364376,42.80
2018,Synthetic Rubber,470440,47.70
2019,Synthetic Rubber,475746,48.00
2020,Synthetic Rubber,553834,51.90
2021,Synthetic Rubber,524083,51.10
2022,Synthetic Rubber,425721,50.00
