Year,Export Product Name,Export Product Value
2018,Latex Goods,19348763
2018,Industrial Rubber Goods,1371832
2018,General Rubber Goods,1319927
2019,Latex Goods,19142441
2019,Industrial Rubber Goods,1109766
2019,General Rubber Goods,1328898
2020,Latex Goods,37641100
2020,Industrial Rubber Goods,934165
2020,General Rubber Goods,1235118
2021,Latex Goods,56659996
2021,Industrial Rubber Goods,1308047
2021,General Rubber Goods,1395706
2022,Latex Goods,21300515
2022,Industrial Rubber Goods,1734521
2022,General Rubber Goods,1648667
