Year,Month,Date,State,Production,Status Data
2018,Apr,2018-04-01,Johor,296,f
2018,Apr,2018-04-01,Kedah,692,f
2018,Apr,2018-04-01,Kelantan,407,f
2018,Apr,2018-04-01,Melaka,352,f
2018,Apr,2018-04-01,Pahang,284,f
2018,Apr,2018-04-01,Perak,155,f
2018,Apr,2018-04-01,Sabah,175,f
2018,Apr,2018-04-01,Selangor,341,f
2018,Apr,2018-04-01,Perlis,692,f
2018,Apr,2018-04-01,Terengganu,407,f
2018,Apr,2018-04-01,Negeri Sembilan,352,f
2018,Apr,2018-04-01,Sarawak,175,f
2021,Mar,2021-03-01,Johor,248,f
2021,Mar,2021-03-01,Kedah,350,f
2021,Mar,2021-03-01,Kelantan,952,f
2021,Mar,2021-03-01,Melaka,376,f
2021,Mar,2021-03-01,Pahang,165,f
2021,Mar,2021-03-01,Perak,284,f
2021,Mar,2021-03-01,Sabah,551,f
2021,Mar,2021-03-01,Selangor,235,f
2021,Mar,2021-03-01,Perlis,350,f
2021,Mar,2021-03-01,Terengganu,952,f
2021,Mar,2021-03-01,Negeri Sembilan,376,f
2021,Mar,2021-03-01,Sarawak,551,f
2021,Nov,2021-11-01,Johor,321,f
2021,Nov,2021-11-01,Kedah,555,f
2021,Nov,2021-11-01,Kelantan,794,f
2021,Nov,2021-11-01,Melaka,142,f
2021,Nov,2021-11-01,Pahang,235,f
2021,Nov,2021-11-01,Perak,439,f
2021,Nov,2021-11-01,Sabah,445,f
2021,Nov,2021-11-01,Selangor,291,f
2021,Nov,2021-11-01,Perlis,555,f
2021,Nov,2021-11-01,Terengganu,794,f
2021,Nov,2021-11-01,Negeri Sembilan,142,f
2021,Nov,2021-11-01,Sarawak,445,f
2020,Aug,2020-08-01,Johor,724,f
2020,Aug,2020-08-01,Kedah,1028,f
2020,Aug,2020-08-01,Kelantan,1600,f
2020,Aug,2020-08-01,Melaka,713,f
2020,Aug,2020-08-01,Pahang,416,f
2020,Aug,2020-08-01,Perak,573,f
2020,Aug,2020-08-01,Sabah,558,f
2020,Aug,2020-08-01,Selangor,662,f
2020,Aug,2020-08-01,Perlis,1028,f
2020,Aug,2020-08-01,Terengganu,1600,f
2020,Aug,2020-08-01,Negeri Sembilan,713,f
2020,Aug,2020-08-01,Sarawak,558,f
2020,May,2020-05-01,Johor,237,f
2020,May,2020-05-01,Kedah,682,f
2020,May,2020-05-01,Kelantan,863,f
2020,May,2020-05-01,Melaka,275,f
2020,May,2020-05-01,Pahang,197,f
2020,May,2020-05-01,Perak,225,f
2020,May,2020-05-01,Sabah,316,f
2020,May,2020-05-01,Selangor,450,f
2020,May,2020-05-01,Perlis,682,f
2020,May,2020-05-01,Terengganu,863,f
2020,May,2020-05-01,Negeri Sembilan,275,f
2020,May,2020-05-01,Sarawak,316,f
2018,Jan,2018-01-01,Johor,449,f
2018,Jan,2018-01-01,Kedah,1460,f
2018,Jan,2018-01-01,Kelantan,697,f
2018,Jan,2018-01-01,Melaka,555,f
2018,Jan,2018-01-01,Pahang,419,f
2018,Jan,2018-01-01,Perak,377,f
2018,Jan,2018-01-01,Sabah,220,f
2018,Jan,2018-01-01,Selangor,540,f
2018,Jan,2018-01-01,Perlis,1460,f
2018,Jan,2018-01-01,Terengganu,697,f
2018,Jan,2018-01-01,Negeri Sembilan,555,f
2018,Jan,2018-01-01,Sarawak,220,f
2019,Dec,2019-12-01,Johor,626,f
2019,Dec,2019-12-01,Kedah,1640,f
2019,Dec,2019-12-01,Kelantan,1264,f
2019,Dec,2019-12-01,Melaka,795,f
2019,Dec,2019-12-01,Pahang,419,f
2019,Dec,2019-12-01,Perak,358,f
2019,Dec,2019-12-01,Sabah,469,f
2019,Dec,2019-12-01,Selangor,622,f
2019,Dec,2019-12-01,Perlis,1640,f
2019,Dec,2019-12-01,Terengganu,1264,f
2019,Dec,2019-12-01,Negeri Sembilan,795,f
2019,Dec,2019-12-01,Sarawak,469,f
2022,Jan,2022-01-01,Johor,473,f
2022,Jan,2022-01-01,Kedah,980,f
